sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02083045244216919,1,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02777385711669922,2,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02890169620513916,3,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.025931596755981445,4,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.023036539554595947,5,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.017103970050811768,6,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.030611515045166016,1,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.041301071643829346,2,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04752618074417114,3,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04678982496261597,4,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0411374568939209,5,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step256,seed7,7,256
