sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.028546452522277832,1,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.045318603515625,2,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04958981275558472,3,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05449104309082031,4,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05670475959777832,5,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0562170147895813,6,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05855065584182739,7,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06251883506774902,8,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0639379620552063,9,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06661242246627808,10,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0667715072631836,11,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06757467985153198,12,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06805938482284546,13,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06819546222686768,14,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0668935775756836,15,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06362038850784302,16,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.058048367500305176,17,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05360132455825806,18,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04606461524963379,19,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.038885653018951416,20,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.032865703105926514,21,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027018308639526367,22,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step128,seed6,6,128
