sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027661144733428955,1,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03771853446960449,2,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04039013385772705,3,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.035856008529663086,4,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.036462604999542236,5,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03266620635986328,6,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03124183416366577,7,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.028080523014068604,8,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02568495273590088,9,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.024533390998840332,10,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.022629261016845703,11,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02109050750732422,12,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03373509645462036,1,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.045328736305236816,2,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.046588122844696045,3,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0419083833694458,4,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04090303182601929,5,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03852015733718872,6,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03497195243835449,7,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03177201747894287,8,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.029574990272521973,9,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.027413904666900635,10,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.025507807731628418,11,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.024039089679718018,12,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.037148118019104004,1,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05096989870071411,2,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.049846768379211426,3,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04385983943939209,4,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04428583383560181,5,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.039337217807769775,6,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03483712673187256,7,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.02996230125427246,8,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.028788268566131592,9,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.026968061923980713,10,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0247194766998291,11,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a magic act.,act,act,Different Sense,0.02299565076828003,12,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03773421049118042,1,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.05006396770477295,2,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.05101001262664795,3,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.04608994722366333,4,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.041890084743499756,5,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.038583993911743164,6,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03404688835144043,7,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03001934289932251,8,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step16,seed2,2,16
