sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02477818727493286,1,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03954678773880005,2,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04507601261138916,3,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.042250633239746094,4,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04547274112701416,5,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03989595174789429,6,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04363065958023071,7,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04425251483917236,8,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04310053586959839,9,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04084700345993042,10,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03455376625061035,11,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02547001838684082,12,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04213821887969971,1,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06035184860229492,2,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06273341178894043,3,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06919741630554199,4,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07940667867660522,5,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07674771547317505,6,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07919228076934814,7,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07735419273376465,8,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07492703199386597,9,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06986212730407715,10,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06106990575790405,11,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04599660634994507,12,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.02530038356781006,1,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.043056607246398926,2,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05346804857254028,3,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05999273061752319,4,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0684882402420044,5,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
It was a humane act.,It was a magic act.,act,act,Different Sense,0.06745588779449463,6,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step256,seed8,8,256
